Datetime_UTC,RecNbr,Array_ID_1min,Stn_Code,DHI_Avg,DHI_Std,GHI_Avg,GHI_Std,Irrad_Direct_Avg,Irrad_Direct_Std,SunShine_Tot,Bat_Min,GTI_Avg,GTI_Std,GTISW_Avg,GTISW_Std
2023-05-06 00:00:00,12012,101.0,555.0,-1.960113763809204,0.05779988691210747,-2.6288862228393555,0.11205419898033142,5.029633045196533,6.190051078796387,0.0,13.6,-4.923416614532471,0.11543695628643036,-1.5548264980316162,0.1815105825662613
2023-05-06 00:01:00,12013,101.0,555.0,-1.997451901435852,0.05266083404421806,-2.6984071731567383,0.1216220036149025,3.4401280879974365,5.431824684143066,0.0,13.59,-5.028434753417969,0.11433467268943787,-1.5955815315246582,0.1943686157464981
2023-05-06 00:02:00,12014,101.0,555.0,-1.983678936958313,0.05344444513320923,-2.7594070434570312,0.09607253968715668,2.622663736343384,6.37800407409668,0.0,13.6,-5.071536540985107,0.12136434018611908,-1.5106412172317505,0.20169702172279358
2023-05-06 00:03:00,12015,101.0,555.0,-1.9902366399765015,0.052307408303022385,-2.80533766746521,0.09929029643535614,2.736191511154175,6.398160934448242,0.0,13.6,-5.1367950439453125,0.12430853396654129,-1.5468817949295044,0.2039729654788971
2023-05-06 00:04:00,12016,101.0,555.0,-1.9260190725326538,0.05050189793109894,-2.776477575302124,0.11731691658496857,2.7816009521484375,6.190247535705566,0.0,13.6,-5.0837249755859375,0.12057948857545853,-1.3260637521743774,0.17825841903686523
2023-05-06 00:05:00,12017,101.0,555.0,-1.8146370649337769,0.057352565228939056,-2.712219715118408,0.08645282685756683,0.7152671813964844,5.420377254486084,0.0,13.6,-4.830543518066406,0.14220952987670898,-1.1448919773101807,0.2119167149066925
2023-05-06 00:06:00,12018,101.0,555.0,-1.7281533479690552,0.06316479295492172,-2.465564727783203,0.06965358555316925,3.9509928226470947,6.01085090637207,0.0,13.59,-4.639280319213867,0.12308153510093689,-1.1788809299468994,0.19132116436958313
2023-05-06 00:07:00,12019,101.0,555.0,-1.7910999059677124,0.06750848144292831,-2.4774203300476074,0.10337211936712265,0.05676714703440666,6.024324893951416,0.0,13.6,-4.557528018951416,0.0980415865778923,-1.3533016443252563,0.11853126436471939
2023-05-06 00:08:00,12020,101.0,555.0,-1.9064600467681885,0.05854751914739609,-2.55551815032959,0.06598948687314987,4.586906433105469,4.368751525878906,0.0,13.6,-4.654890537261963,0.11546661704778671,-1.8029087781906128,0.19555680453777313
2023-05-06 00:09:00,12021,101.0,555.0,-2.0683441162109375,0.07672014087438583,-2.800912380218506,0.10336308926343918,1.260270357131958,6.137128829956055,0.0,13.6,-4.8495564460754395,0.13452096283435822,-2.1777679920196533,0.2775188386440277
2023-05-06 00:10:00,12022,101.0,555.0,-2.177121639251709,0.06499593704938889,-2.9583587646484375,0.10509506613016129,0.7606979608535767,5.616246223449707,0.0,13.6,-5.07845401763916,0.11899048835039139,-2.339698553085327,0.23320157825946808
2023-05-06 00:11:00,12023,101.0,555.0,-2.199401378631592,0.05554628744721413,-3.010843515396118,0.055435992777347565,5.608716011047363,2.3080101013183594,0.0,13.59,-5.257608890533447,0.10725092887878418,-2.364609956741333,0.1654171496629715
2023-05-06 00:12:00,12024,101.0,555.0,-2.260998249053955,0.05348333343863487,-3.0561044216156006,0.11016981303691864,3.2811951637268066,5.509774208068848,0.0,13.6,-5.144787788391113,0.09183882921934128,-2.5457983016967773,0.23618504405021667
2023-05-06 00:13:00,12025,101.0,555.0,-2.258373498916626,0.054846927523612976,-3.0534753799438477,0.10932191461324692,2.0890583992004395,5.362258434295654,0.0,13.6,-5.143673419952393,0.10733284056186676,-2.4302823543548584,0.2275221049785614
2023-05-06 00:14:00,12026,101.0,555.0,-2.2858946323394775,0.05764186009764671,-3.0442845821380615,0.1005348265171051,3.8602092266082764,6.182008743286133,0.0,13.6,-5.10495662689209,0.1192350760102272,-2.5503196716308594,0.2032647579908371
2023-05-06 00:15:00,12027,101.0,555.0,-2.2970526218414307,0.055742569267749786,-3.0613653659820557,0.09435928612947464,1.11264967918396,5.891552925109863,0.0,13.6,-5.103888511657715,0.11575997620820999,-2.528820753097534,0.230116069316864
2023-05-06 00:16:00,12028,101.0,555.0,-2.295747995376587,0.06262435019016266,-3.0174145698547363,0.09114629775285721,4.995543003082275,4.830780029296875,0.0,13.59,-5.170258045196533,0.13120625913143158,-2.5752596855163574,0.22525820136070251
2023-05-06 00:17:00,12029,101.0,555.0,-2.2871816158294678,0.060986582189798355,-3.1111745834350586,0.10289515554904938,-1.39652419090271,3.9847183227539062,0.0,13.6,-5.214390277862549,0.1118834838271141,-2.388352155685425,0.15926633775234222
2023-05-06 00:18:00,12030,101.0,555.0,-2.264899492263794,0.057521987706422806,-3.0573747158050537,0.1117282435297966,0.8969398140907288,5.535020351409912,0.0,13.6,-5.186741828918457,0.10291588306427002,-2.431385040283203,0.20006658136844635
2023-05-06 00:19:00,12031,101.0,555.0,-2.2714521884918213,0.04888419806957245,-3.0468759536743164,0.08200845122337341,1.6690008640289307,5.931515693664551,0.0,13.6,-4.993204116821289,0.11078480631113052,-2.6193718910217285,0.11055814474821091
2023-05-06 00:20:00,12032,101.0,555.0,-2.1947739124298096,0.06559821963310242,-2.9327139854431152,0.10648257285356522,-0.6471693515777588,4.339591979980469,0.0,13.6,-5.020847797393799,0.1003878191113472,-2.243394374847412,0.18253016471862793
